kecamatan,desa,kodesls,namasls,jumlahk,koseka
060 Mlati,001 Tritoadi,1,RT 001 RW 001 DUSUN PUNDONG I,70,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,2,RT 002 RW 001 DUSUN PUNDONG I,45,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,4,RT 006 RW 002 DUSUN PUNDONG 1,84,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,5,RT 005 RW 003 DUSUN PUNDONG I,63,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,6,RT 004 RW 003 DUSUN PUNDONG I,69,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,7,RT 001 RW 004 DUSUN PUNDONG II,38,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,8,RT 002 RW 004 DUSUN PUNDONG II,36,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,9,RT 003 RW 005 DUSUN PUNDONG II,21,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,10,RT 004 RW 005 DUSUN PUNDONG II,61,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,11,RT 001 RW 006 DUSUN PUNDONG III,37,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,12,RT 002 RW 006 DUSUN PUNDONG III,27,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,13,RT 003 RW 007 DUSUN PUNDONG III,64,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,15,RT 001 RW 008 DUSUN PUNDONG IV,39,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,16,RT 002 RW 008 DUSUN PUNDONG IV,59,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,17,RT 003 RW 009 DUSUN PUNDONG IV,26,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,18,RT 004 RW 009 DUSUN PUNDONG IV,32,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,19,RT 001 RW 010 DUSUN PUNDONG V,44,"Iva Nur Khalimah SST, M.Ec.Dev"
060 Mlati,001 Tritoadi,21,RT 003 RW 011 DUSUN PUNDONG V,72,"Iva Nur Khalimah SST, M.Ec.Dev"
